transaction_id,invoice_id,buyer_id,seller_id,crop,crop_category,quantity_kg,price_per_kg,invoice_amount,procurement_date,delivery_date,payment_due_date,actual_payment_date,payment_status,amount_paid,outstanding_amount,days_past_due,order_status,quantity_ordered,quantity_delivered,quality_accepted,quality_dispute,transaction_dispute,cancelled,partial_payment,digital_passport_verified,dispatch_verified,receiving_verified,invoice_verified,payment_verified,buyer_location,seller_location,transport_distance_km,expected_shelf_life_days,crop_perishability_score,market_price_at_procurement,expected_sale_price,actual_sale_price,downstream_sale_date,created_at,updated_at,next_cycle_30dpd
TXN_0004949,INV_0004949,BUYER_0371,SELLER_00426,Onion,vegetable,686.9,68.61,47128.15,2023-01-06,2023-01-06,2023-01-13,2023-01-14,PAID,47128.15,0,1,COMPLETED,686.9,659.14,True,False,False,False,False,True,True,True,True,True,REGION_11,REGION_5,13.8,45,0.45,69.42,75.47,84.02,2023-01-11,2023-01-06,2023-01-14,0
TXN_0000922,INV_0000922,BUYER_0097,SELLER_00965,Onion,vegetable,1537.59,57.81,88890.23,2023-01-06,2023-01-08,2023-01-13,2023-01-17,PAID,88890.23,0,4,COMPLETED,1537.59,1523.79,True,False,False,False,False,True,True,True,True,True,REGION_1,REGION_1,124.3,45,0.45,57.14,63.59,65.77,2023-01-09,2023-01-06,2023-01-17,0
TXN_0000205,INV_0000205,BUYER_0230,SELLER_00455,Rice,grain,1403.07,29.25,41038.75,2023-01-06,2023-01-07,2023-01-13,2023-01-16,PAID,41038.75,0,3,COMPLETED,1403.07,1265.61,True,False,False,False,False,True,True,True,True,True,REGION_2,REGION_1,5.5,150,0.2,29.86,32.17,31.62,2023-01-13,2023-01-06,2023-01-16,0
TXN_0003445,INV_0003445,BUYER_0166,SELLER_00089,Tomato,vegetable,754.41,68.45,51638.39,2023-01-06,2023-01-06,2023-01-13,2023-03-10,PAID,51638.39,0,56,COMPLETED,754.41,707.31,True,False,False,False,False,True,True,True,True,True,REGION_10,REGION_3,72.2,8,0.9,64.75,75.29,81.95,2023-01-10,2023-01-06,2023-03-10,1
TXN_0004926,INV_0004926,BUYER_0182,SELLER_00781,Onion,vegetable,281.5,46.85,13189.28,2023-01-06,2023-01-08,2023-01-13,2023-01-27,PAID,13189.28,0,14,COMPLETED,281.5,264.58,False,True,True,False,False,False,True,True,True,True,REGION_2,REGION_8,16.9,45,0.45,47.85,51.54,48.54,2023-01-08,2023-01-06,2023-01-27,0
TXN_0000125,INV_0000125,BUYER_0299,SELLER_00026,Wheat,grain,678.75,50.35,34171.92,2023-01-06,2023-01-06,2023-01-13,2023-01-29,PAID,34171.92,0,16,COMPLETED,678.75,627.81,True,False,False,False,False,True,True,False,True,True,REGION_11,REGION_11,43.9,180,0.15,49.5,55.38,48.67,2023-01-08,2023-01-06,2023-01-29,0
TXN_0002689,INV_0002689,BUYER_0211,SELLER_01026,Chilli,spice,405.76,42.92,17415.24,2023-01-06,2023-01-06,2023-01-13,2023-01-29,PAID,17415.24,0,16,COMPLETED,405.76,386.47,True,False,False,False,False,True,True,True,True,True,REGION_7,REGION_1,49.1,90,0.35,44.69,47.21,44.9,2023-01-11,2023-01-06,2023-01-29,0
TXN_0001727,INV_0001727,BUYER_0231,SELLER_00471,Banana,fruit,871.88,65.45,57062.75,2023-01-07,2023-01-08,2023-01-14,2023-01-25,PAID,57062.75,0,11,COMPLETED,871.88,859.26,False,True,True,False,False,True,True,False,False,True,REGION_3,REGION_5,34.0,10,0.75,69.81,71.99,72.13,2023-01-10,2023-01-07,2023-01-25,0
TXN_0004665,INV_0004665,BUYER_0127,SELLER_01151,Banana,fruit,552.88,27.32,15105.7,2023-01-07,2023-01-07,2023-01-14,2023-01-14,PAID,15105.7,0,0,COMPLETED,552.88,540.45,True,False,False,False,False,True,True,True,True,True,REGION_7,REGION_9,38.1,10,0.75,26.27,30.05,31.37,2023-01-09,2023-01-07,2023-01-14,0
TXN_0003070,INV_0003070,BUYER_0332,SELLER_00817,Banana,fruit,1145.52,27.36,31336.22,2023-01-07,2023-01-08,2023-01-14,2023-01-30,PAID,31336.22,0,16,COMPLETED,1145.52,1138.35,True,False,False,False,False,True,False,True,False,True,REGION_8,REGION_5,43.7,10,0.75,26.51,30.09,29.24,2023-01-12,2023-01-07,2023-01-30,0
TXN_0003742,INV_0003742,BUYER_0100,SELLER_01130,Banana,fruit,896.24,25.39,22751.71,2023-01-07,2023-01-07,2023-01-14,2023-03-05,PAID,22751.71,0,50,COMPLETED,896.24,892.19,True,False,False,False,False,True,False,True,True,True,REGION_4,REGION_2,10.7,10,0.75,25.11,27.92,28.75,2023-01-12,2023-01-07,2023-03-05,1
TXN_0003938,INV_0003938,BUYER_0012,SELLER_00092,Wheat,grain,410.59,67.15,27572.34,2023-01-08,2023-01-10,2023-01-15,2023-01-19,PAID,27572.34,0,4,COMPLETED,410.59,392.39,True,False,False,False,False,True,False,True,True,False,REGION_0,REGION_2,15.4,180,0.15,64.6,73.87,71.82,2023-01-12,2023-01-08,2023-01-19,0
TXN_0001988,INV_0001988,BUYER_0186,SELLER_01381,Potato,vegetable,488.27,35.41,17288.08,2023-01-08,2023-01-08,2023-01-15,2023-01-30,PAID,17288.08,0,15,COMPLETED,488.27,447.63,False,True,True,False,False,True,False,False,True,False,REGION_6,REGION_7,17.2,50,0.4,34.7,38.95,41.82,2023-01-12,2023-01-08,2023-01-30,0
TXN_0000364,INV_0000364,BUYER_0005,SELLER_01569,Chilli,spice,411.13,14.05,5775.49,2023-01-08,2023-01-10,2023-01-15,2023-01-15,PAID,5775.49,0,0,COMPLETED,411.13,388.08,False,True,True,False,False,True,False,True,True,True,REGION_5,REGION_7,60.2,90,0.35,13.72,15.45,17.47,2023-01-11,2023-01-08,2023-01-15,0
TXN_0005860,INV_0005860,BUYER_0308,SELLER_00567,Tomato,vegetable,181.47,61.53,11166.68,2023-01-08,2023-01-08,2023-01-15,2023-01-24,PAID,11166.68,0,9,COMPLETED,181.47,166.13,True,False,False,False,False,True,True,True,True,True,REGION_8,REGION_7,37.1,8,0.9,60.53,67.69,71.1,2023-01-10,2023-01-08,2023-01-24,0
TXN_0004900,INV_0004900,BUYER_0231,SELLER_00966,Banana,fruit,731.57,20.38,14908.49,2023-01-08,2023-01-09,2023-01-15,2023-01-24,PAID,14908.49,0,9,COMPLETED,731.57,669.39,True,False,False,False,False,False,False,True,True,True,REGION_3,REGION_6,115.3,10,0.75,19.91,22.42,24.42,2023-01-10,2023-01-08,2023-01-24,0
TXN_0005884,INV_0005884,BUYER_0399,SELLER_00350,Banana,fruit,349.97,64.72,22650.88,2023-01-08,2023-01-08,2023-01-15,2023-01-22,PAID,22650.88,0,7,COMPLETED,349.97,316.45,True,False,False,False,False,True,True,True,True,True,REGION_3,REGION_9,48.7,10,0.75,63.83,71.2,65.13,2023-01-12,2023-01-08,2023-01-22,0
TXN_0000099,INV_0000099,BUYER_0115,SELLER_00044,Mango,fruit,894.09,74.97,67026.37,2023-01-08,2023-01-09,2023-01-15,2023-03-10,PAID,67026.37,0,54,COMPLETED,894.09,893.12,True,False,False,False,False,False,True,True,True,False,REGION_7,REGION_4,134.0,12,0.8,79.07,82.46,95.57,2023-01-10,2023-01-08,2023-03-10,1
TXN_0002478,INV_0002478,BUYER_0236,SELLER_00434,Potato,vegetable,1541.7,45.28,69807.64,2023-01-08,2023-01-10,2023-01-15,2023-01-16,PAID,69807.64,0,1,COMPLETED,1541.7,1508.55,True,False,False,False,False,True,False,True,True,True,REGION_8,REGION_9,127.5,50,0.4,43.0,49.81,47.33,2023-01-12,2023-01-08,2023-01-16,0
TXN_0002698,INV_0002698,BUYER_0063,SELLER_00446,Potato,vegetable,817.65,17.18,14046.64,2023-01-08,2023-01-10,2023-01-15,2023-01-24,PAID,14046.64,0,9,COMPLETED,817.65,739.66,True,False,False,False,False,True,False,True,True,False,REGION_3,REGION_11,28.6,50,0.4,16.93,18.9,19.98,2023-01-14,2023-01-08,2023-01-24,0
TXN_0005736,INV_0005736,BUYER_0319,SELLER_01575,Onion,vegetable,650.63,59.67,38825.9,2023-01-08,2023-01-08,2023-01-15,2023-02-02,PAID,38825.9,0,18,COMPLETED,650.63,596.73,True,False,False,False,False,True,True,False,True,False,REGION_7,REGION_10,98.7,45,0.45,57.74,65.64,66.07,2023-01-10,2023-01-08,2023-02-02,0
TXN_0000975,INV_0000975,BUYER_0327,SELLER_00075,Wheat,grain,703.68,35.71,25129.11,2023-01-09,2023-01-09,2023-01-16,2023-02-04,PAID,25129.11,0,19,COMPLETED,703.68,683.05,True,False,False,False,False,True,True,True,False,True,REGION_3,REGION_7,282.7,180,0.15,36.8,39.28,40.1,2023-01-16,2023-01-09,2023-02-04,0
TXN_0002541,INV_0002541,BUYER_0338,SELLER_01091,Banana,fruit,155.22,71.24,11057.96,2023-01-09,2023-01-11,2023-01-16,2023-01-18,PAID,11057.96,0,2,COMPLETED,155.22,147.87,True,False,False,False,False,True,True,True,True,True,REGION_2,REGION_7,60.7,10,0.75,72.23,78.37,78.61,2023-01-13,2023-01-09,2023-01-18,0
TXN_0005323,INV_0005323,BUYER_0096,SELLER_00522,Onion,vegetable,515.35,16.76,8637.97,2023-01-09,2023-01-09,2023-01-16,2023-01-18,PAID,8637.97,0,2,COMPLETED,515.35,479.88,True,False,False,False,False,False,True,True,True,True,REGION_0,REGION_6,40.2,45,0.45,17.32,18.44,19.11,2023-01-11,2023-01-09,2023-01-18,0
TXN_0001874,INV_0001874,BUYER_0020,SELLER_01148,Mango,fruit,212.05,73.2,15521.46,2023-01-09,2023-01-10,2023-01-16,2023-03-07,PAID,15521.46,0,50,COMPLETED,212.05,191.34,False,True,False,False,False,True,True,True,True,True,REGION_8,REGION_8,251.2,12,0.8,69.3,80.52,85.12,2023-01-16,2023-01-09,2023-03-07,1
TXN_0004214,INV_0004214,BUYER_0243,SELLER_00419,Mango,fruit,425.68,14.06,5986.12,2023-01-09,2023-01-09,2023-01-16,2023-02-01,PAID,5986.12,0,16,COMPLETED,425.68,405.06,True,False,False,False,False,True,False,True,False,False,REGION_3,REGION_4,55.4,12,0.8,15.0,15.47,17.57,2023-01-14,2023-01-09,2023-02-01,0
TXN_0004968,INV_0004968,BUYER_0093,SELLER_00677,Potato,vegetable,72.4,30.06,2176.12,2023-01-09,2023-01-11,2023-01-16,2023-01-25,PAID,2176.12,0,9,COMPLETED,72.4,67.54,True,False,False,False,False,True,True,True,False,True,REGION_9,REGION_11,113.9,50,0.4,30.49,33.06,32.23,2023-01-12,2023-01-09,2023-01-25,0
TXN_0000872,INV_0000872,BUYER_0333,SELLER_00986,Wheat,grain,303.61,26.13,7933.38,2023-01-10,2023-01-10,2023-01-17,2023-02-04,PAID,7933.38,0,18,COMPLETED,303.61,276.6,True,False,False,False,False,False,False,True,True,True,REGION_9,REGION_5,116.7,180,0.15,27.35,28.74,31.78,2023-01-17,2023-01-10,2023-02-04,0
TXN_0005239,INV_0005239,BUYER_0242,SELLER_00944,Banana,fruit,2127.26,41.26,87760.99,2023-01-10,2023-01-11,2023-01-17,2023-01-18,PAID,87760.99,0,1,COMPLETED,2127.26,2123.82,True,False,False,False,False,True,True,True,True,True,REGION_2,REGION_1,80.2,10,0.75,41.77,45.38,46.68,2023-01-14,2023-01-10,2023-01-18,0
TXN_0002812,INV_0002812,BUYER_0090,SELLER_00850,Wheat,grain,2792.3,42.37,118312.26,2023-01-10,2023-01-10,2023-01-17,2023-01-19,PAID,118312.26,0,2,COMPLETED,2792.3,2767.7,True,False,False,False,False,True,True,True,True,True,REGION_6,REGION_1,138.7,180,0.15,41.5,46.61,42.62,2023-01-17,2023-01-10,2023-01-19,0
TXN_0005379,INV_0005379,BUYER_0061,SELLER_00985,Chilli,spice,1490.55,52.97,78947.87,2023-01-10,2023-01-12,2023-01-17,2023-01-25,PAID,78947.87,0,8,COMPLETED,1490.55,1482.79,True,False,False,False,False,True,True,True,True,True,REGION_1,REGION_1,61.0,90,0.35,50.76,58.26,56.29,2023-01-13,2023-01-10,2023-01-25,0
TXN_0004405,INV_0004405,BUYER_0023,SELLER_01457,Mango,fruit,473.74,35.08,16620.98,2023-01-10,2023-01-12,2023-01-17,2023-03-05,PAID,16620.98,0,47,COMPLETED,473.74,433.68,True,False,False,False,False,True,True,True,True,False,REGION_11,REGION_0,34.5,12,0.8,33.9,38.59,41.06,2023-01-12,2023-01-10,2023-03-05,1
TXN_0004962,INV_0004962,BUYER_0211,SELLER_00478,Rice,grain,879.37,72.52,63771.45,2023-01-10,2023-01-10,2023-01-17,2023-01-25,PAID,63771.45,0,8,COMPLETED,879.37,845.37,True,False,False,False,False,False,True,True,True,True,REGION_7,REGION_7,100.7,150,0.2,71.22,79.77,81.05,2023-01-14,2023-01-10,2023-01-25,0
TXN_0002156,INV_0002156,BUYER_0063,SELLER_00860,Chilli,spice,2431.9,16.04,39018.47,2023-01-10,2023-01-12,2023-01-17,2023-01-26,PAID,39018.47,0,9,COMPLETED,2431.9,2236.05,True,False,False,False,False,True,True,True,True,True,REGION_3,REGION_1,40.0,90,0.35,15.63,17.65,15.99,2023-01-15,2023-01-10,2023-01-26,0
TXN_0005026,INV_0005026,BUYER_0159,SELLER_00616,Potato,vegetable,443.54,27.14,12035.56,2023-01-10,2023-01-10,2023-01-17,2023-03-06,PAID,12035.56,0,48,COMPLETED,443.54,425.56,True,False,False,False,False,True,False,True,True,False,REGION_3,REGION_10,85.5,50,0.4,27.07,29.85,29.77,2023-01-14,2023-01-10,2023-03-06,1
TXN_0005590,INV_0005590,BUYER_0206,SELLER_00170,Banana,fruit,2913.48,73.94,215426.08,2023-01-11,2023-01-11,2023-01-18,2023-01-30,PAID,215426.08,0,12,COMPLETED,2913.48,2776.56,True,False,False,False,False,True,True,True,True,True,REGION_2,REGION_2,104.9,10,0.75,69.08,81.34,88.58,2023-01-15,2023-01-11,2023-01-30,0
TXN_0001793,INV_0001793,BUYER_0236,SELLER_01261,Potato,vegetable,399.01,43.12,17203.99,2023-01-11,2023-01-11,2023-01-18,2023-01-21,PAID,17203.99,0,3,COMPLETED,399.01,390.93,True,False,False,False,False,True,True,False,True,True,REGION_8,REGION_10,67.2,50,0.4,46.62,47.43,45.66,2023-01-13,2023-01-11,2023-01-21,0
TXN_0004771,INV_0004771,BUYER_0037,SELLER_00997,Chilli,spice,111.83,33.49,3745.14,2023-01-11,2023-01-11,2023-01-18,2023-01-23,PAID,3745.14,0,5,COMPLETED,111.83,111.42,True,False,False,False,False,True,True,True,True,False,REGION_1,REGION_4,276.1,90,0.35,35.21,36.84,37.97,2023-01-14,2023-01-11,2023-01-23,0
TXN_0001128,INV_0001128,BUYER_0220,SELLER_00960,Tomato,vegetable,841.36,12.39,10420.51,2023-01-11,2023-01-11,2023-01-18,2023-01-23,CANCELLED,0.0,0,5,CANCELLED,841.36,0.0,True,False,False,True,False,True,True,True,True,True,REGION_4,REGION_3,101.6,8,0.9,11.53,13.62,15.13,2023-01-16,2023-01-11,2023-01-23,0
TXN_0000130,INV_0000130,BUYER_0209,SELLER_00396,Potato,vegetable,276.26,70.2,19393.24,2023-01-11,2023-01-11,2023-01-18,2023-01-30,PAID,19393.24,0,12,COMPLETED,276.26,252.17,True,False,False,False,False,True,True,True,True,True,REGION_5,REGION_7,162.9,50,0.4,66.83,77.22,75.61,2023-01-14,2023-01-11,2023-01-30,0
TXN_0003493,INV_0003493,BUYER_0082,SELLER_00312,Mango,fruit,749.89,15.27,11449.28,2023-01-11,2023-01-13,2023-01-18,2023-02-12,PAID,11449.28,0,25,COMPLETED,749.89,701.11,True,False,False,False,False,True,True,True,False,True,REGION_10,REGION_5,236.4,12,0.8,15.03,16.79,18.1,2023-01-17,2023-01-11,2023-02-12,0
TXN_0004122,INV_0004122,BUYER_0338,SELLER_00357,Banana,fruit,405.44,39.45,15993.73,2023-01-11,2023-01-12,2023-01-18,2023-01-25,PAID,15993.73,0,7,COMPLETED,405.44,384.08,True,False,False,False,False,False,True,False,True,True,REGION_2,REGION_2,59.2,10,0.75,39.13,43.39,47.5,2023-01-17,2023-01-11,2023-01-25,0
TXN_0002577,INV_0002577,BUYER_0325,SELLER_01048,Rice,grain,1291.01,49.89,64407.21,2023-01-12,2023-01-13,2023-01-19,2023-03-19,PAID,64407.21,0,59,COMPLETED,1291.01,1219.5,True,False,False,False,False,False,False,True,True,True,REGION_1,REGION_5,41.5,150,0.2,50.55,54.88,49.96,2023-01-16,2023-01-12,2023-03-19,1
